District,Season,season_temporal,transplant_month,growth_start_month,harvest_start_month,temp_diurnal_range,temp_mean,gdd_proxy,svp_proxy,vpd_proxy,humidity_mid,season_sin,season_cos,area_log,area_x_diurnal,temp_x_humidity,Season_enc,Crop Name_enc,Transplant_enc,Growth_enc,Harvest_enc,District_enc,AP Ratio
Bagerhat,Kharif 2,2,6.0,7.0,11.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,-0.8660254037844385,-0.5000000000000004,12.08572256783892,4964988.0,1885.0,1,0,6,10,26,0,0.8510272331
Bandarban,Kharif 2,2,6.0,7.0,11.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,-0.8660254037844385,-0.5000000000000004,10.152181884694343,718088.0,1885.0,1,0,6,10,26,1,1.175777899
Barguna,Kharif 2,2,6.0,7.0,11.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,-0.8660254037844385,-0.5000000000000004,12.351911736746713,6479228.0,1885.0,1,0,6,10,26,2,0.7705887183
Barishal,Kharif 2,2,6.0,7.0,11.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,-0.8660254037844385,-0.5000000000000004,12.620385166269722,8474620.0,1885.0,1,0,6,10,26,3,0.7571043893
Bhola,Kharif 2,2,6.0,7.0,11.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,-0.8660254037844385,-0.5000000000000004,12.870244053853545,10880100.0,1885.0,1,0,6,10,26,4,1.100652384
Bogura,Kharif 2,2,6.0,7.0,11.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,-0.8660254037844385,-0.5000000000000004,13.00134310755496,12404196.0,1885.0,1,0,6,10,26,5,1.192475514
Brahmanbaria,Kharif 2,2,6.0,7.0,11.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,-0.8660254037844385,-0.5000000000000004,12.070189919257508,4888464.0,1885.0,1,0,6,10,26,6,1.014634454
Chandpur,Kharif 2,2,6.0,7.0,11.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,-0.8660254037844385,-0.5000000000000004,11.407620503324805,2520112.0,1885.0,1,0,6,10,26,7,0.7804430914
Chapai Nawabganj,Kharif 2,2,6.0,7.0,11.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,-0.8660254037844385,-0.5000000000000004,11.854143565002316,3938620.0,1885.0,1,0,6,10,26,8,1.127252693
Chattogram,Kharif 2,2,6.0,7.0,11.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,-0.8660254037844385,-0.5000000000000004,13.005510409101184,12455996.0,1885.0,1,0,6,10,26,9,0.9779996718
