Area,AP Ratio,District,Season,Avg Temp,Avg Humidity,Crop Name,Transplant,Growth,Harvest,Max Temp,Min Temp,Humidity Min,Humidity Max,Humidity Range
177321,0.8510272331,Bagerhat,Kharif 2,26.0,72.5,Aman,Jun,Jul to   Oct,Nov  to  Dec,40,12.0,60,85,25
25646,1.175777899,Bandarban,Kharif 2,26.0,72.5,Aman,Jun,Jul to   Oct,Nov  to  Dec,40,12.0,60,85,25
231401,0.7705887183,Barguna,Kharif 2,26.0,72.5,Aman,Jun,Jul to   Oct,Nov  to  Dec,40,12.0,60,85,25
302665,0.7571043893,Barishal,Kharif 2,26.0,72.5,Aman,Jun,Jul to   Oct,Nov  to  Dec,40,12.0,60,85,25
388575,1.100652384,Bhola,Kharif 2,26.0,72.5,Aman,Jun,Jul to   Oct,Nov  to  Dec,40,12.0,60,85,25
443007,1.192475514,Bogura,Kharif 2,26.0,72.5,Aman,Jun,Jul to   Oct,Nov  to  Dec,40,12.0,60,85,25
174588,1.014634454,Brahmanbaria,Kharif 2,26.0,72.5,Aman,Jun,Jul to   Oct,Nov  to  Dec,40,12.0,60,85,25
90004,0.7804430914,Chandpur,Kharif 2,26.0,72.5,Aman,Jun,Jul to   Oct,Nov  to  Dec,40,12.0,60,85,25
140665,1.127252693,Chapai Nawabganj,Kharif 2,26.0,72.5,Aman,Jun,Jul to   Oct,Nov  to  Dec,40,12.0,60,85,25
444857,0.9779996718,Chattogram,Kharif 2,26.0,72.5,Aman,Jun,Jul to   Oct,Nov  to  Dec,40,12.0,60,85,25
85718,1.096677477,Chuadanga,Kharif 2,26.0,72.5,Aman,Jun,Jul to   Oct,Nov  to  Dec,40,12.0,60,85,25
181306,1.110415541,CoxsBazar,Kharif 2,26.0,72.5,Aman,Jun,Jul to   Oct,Nov  to  Dec,40,12.0,60,85,25
327517,0.9096474381,Cumilla,Kharif 2,26.0,72.5,Aman,Jun,Jul to   Oct,Nov  to  Dec,40,12.0,60,85,25
18702,0.9652443589,Dhaka,Kharif 2,26.0,72.5,Aman,Jun,Jul to   Oct,Nov  to  Dec,40,12.0,60,85,25
645472,1.078918993,Dinajpur,Kharif 2,26.0,72.5,Aman,Jun,Jul to   Oct,Nov  to  Dec,40,12.0,60,85,25
191856,1.040175965,Faridpur,Kharif 2,26.0,72.5,Aman,Jun,Jul to   Oct,Nov  to  Dec,40,12.0,60,85,25
163129,1.202152897,Feni,Kharif 2,26.0,72.5,Aman,Jun,Jul to   Oct,Nov  to  Dec,40,12.0,60,85,25
293991,1.126656938,Gaibandha,Kharif 2,26.0,72.5,Aman,Jun,Jul to   Oct,Nov  to  Dec,40,12.0,60,85,25
112432,1.185907927,Gazipur,Kharif 2,26.0,72.5,Aman,Jun,Jul to   Oct,Nov  to  Dec,40,12.0,60,85,25
59993,0.7519377261,Gopalganj,Kharif 2,26.0,72.5,Aman,Jun,Jul to   Oct,Nov  to  Dec,40,12.0,60,85,25
245464,1.064665287,Habiganj,Kharif 2,26.0,72.5,Aman,Jun,Jul to   Oct,Nov  to  Dec,40,12.0,60,85,25
265787,0.9535003593,Jamalpur,Kharif 2,26.0,72.5,Aman,Jun,Jul to   Oct,Nov  to  Dec,40,12.0,60,85,25
338887,1.14695459,Jashore,Kharif 2,26.0,72.5,Aman,Jun,Jul to   Oct,Nov  to  Dec,40,12.0,60,85,25
116665,0.7944799211,Jhallokati,Kharif 2,26.0,72.5,Aman,Jun,Jul to   Oct,Nov  to  Dec,40,12.0,60,85,25
252930,1.369529119,Jhenaidah,Kharif 2,26.0,72.5,Aman,Jun,Jul to   Oct,Nov  to  Dec,40,12.0,60,85,25
170726,1.137928611,Joypurhat,Kharif 2,26.0,72.5,Aman,Jun,Jul to   Oct,Nov  to  Dec,40,12.0,60,85,25
66694,1.304375206,Khagrachari,Kharif 2,26.0,72.5,Aman,Jun,Jul to   Oct,Nov  to  Dec,40,12.0,60,85,25
237461,1.120950388,Khulna,Kharif 2,26.0,72.5,Aman,Jun,Jul to   Oct,Nov  to  Dec,40,12.0,60,85,25
186328,1.158322957,Kishoreganj,Kharif 2,26.0,72.5,Aman,Jun,Jul to   Oct,Nov  to  Dec,40,12.0,60,85,25
283509,1.102067307,Kurigram,Kharif 2,26.0,72.5,Aman,Jun,Jul to   Oct,Nov  to  Dec,40,12.0,60,85,25
225972,1.200374383,Kushtia,Kharif 2,26.0,72.5,Aman,Jun,Jul to   Oct,Nov  to  Dec,40,12.0,60,85,25
185213,1.053263,Lakshmipur,Kharif 2,26.0,72.5,Aman,Jun,Jul to   Oct,Nov  to  Dec,40,12.0,60,85,25
189950,1.141163464,Lalmonirhat,Kharif 2,26.0,72.5,Aman,Jun,Jul to   Oct,Nov  to  Dec,40,12.0,60,85,25
40746,0.8303146321,Madaripur,Kharif 2,26.0,72.5,Aman,Jun,Jul to   Oct,Nov  to  Dec,40,12.0,60,85,25
143430,1.062643798,Magura,Kharif 2,26.0,72.5,Aman,Jun,Jul to   Oct,Nov  to  Dec,40,12.0,60,85,25
19457,0.9198231999,Manikganj,Kharif 2,26.0,72.5,Aman,Jun,Jul to   Oct,Nov  to  Dec,40,12.0,60,85,25
82524,1.279203626,Meherpur,Kharif 2,26.0,72.5,Aman,Jun,Jul to   Oct,Nov  to  Dec,40,12.0,60,85,25
251081,1.180622986,Moulvibazar,Kharif 2,26.0,72.5,Aman,Jun,Jul to   Oct,Nov  to  Dec,40,12.0,60,85,25
41822,0.3934053847,Munshiganj,Kharif 2,26.0,72.5,Aman,Jun,Jul to   Oct,Nov  to  Dec,40,12.0,60,85,25
663734,0.9711571202,Mymensingh,Kharif 2,26.0,72.5,Aman,Jun,Jul to   Oct,Nov  to  Dec,40,12.0,60,85,25
468054,1.082366565,Naogaon,Kharif 2,26.0,72.5,Aman,Jun,Jul to   Oct,Nov  to  Dec,40,12.0,60,85,25
85229,1.068098887,Narail,Kharif 2,26.0,72.5,Aman,Jun,Jul to   Oct,Nov  to  Dec,40,12.0,60,85,25
19756,0.5482385098,Narayanganj,Kharif 2,26.0,72.5,Aman,Jun,Jul to   Oct,Nov  to  Dec,40,12.0,60,85,25
97752,1.039313774,Narsingdi,Kharif 2,26.0,72.5,Aman,Jun,Jul to   Oct,Nov  to  Dec,40,12.0,60,85,25
182696,1.119438849,Natore,Kharif 2,26.0,72.5,Aman,Jun,Jul to   Oct,Nov  to  Dec,40,12.0,60,85,25
301949,1.091058424,Netrokona,Kharif 2,26.0,72.5,Aman,Jun,Jul to   Oct,Nov  to  Dec,40,12.0,60,85,25
279580,1.103355033,Nilphamari,Kharif 2,26.0,72.5,Aman,Jun,Jul to   Oct,Nov  to  Dec,40,12.0,60,85,25
382971,1.033623956,Noakhali,Kharif 2,26.0,72.5,Aman,Jun,Jul to   Oct,Nov  to  Dec,40,12.0,60,85,25
221929,0.8668718374,Pabna,Kharif 2,26.0,72.5,Aman,Jun,Jul to   Oct,Nov  to  Dec,40,12.0,60,85,25
246162,1.246549021,Panchagar,Kharif 2,26.0,72.5,Aman,Jun,Jul to   Oct,Nov  to  Dec,40,12.0,60,85,25
431833,0.749345233,Patuakhali,Kharif 2,26.0,72.5,Aman,Jun,Jul to   Oct,Nov  to  Dec,40,12.0,60,85,25
155038,0.6449257601,Pirojpur,Kharif 2,26.0,72.5,Aman,Jun,Jul to   Oct,Nov  to  Dec,40,12.0,60,85,25
117377,0.9136968912,Rajbari,Kharif 2,26.0,72.5,Aman,Jun,Jul to   Oct,Nov  to  Dec,40,12.0,60,85,25
182555,1.273851716,Rajshahi,Kharif 2,26.0,72.5,Aman,Jun,Jul to   Oct,Nov  to  Dec,40,12.0,60,85,25
23990,1.199041267,Rangamati,Kharif 2,26.0,72.5,Aman,Jun,Jul to   Oct,Nov  to  Dec,40,12.0,60,85,25
405055,1.092310921,Rangpur,Kharif 2,26.0,72.5,Aman,Jun,Jul to   Oct,Nov  to  Dec,40,12.0,60,85,25
207744,1.108450786,Satkhira,Kharif 2,26.0,72.5,Aman,Jun,Jul to   Oct,Nov  to  Dec,40,12.0,60,85,25
32898,0.701501611,Shariatpur,Kharif 2,26.0,72.5,Aman,Jun,Jul to   Oct,Nov  to  Dec,40,12.0,60,85,25
202388,0.9527689389,Sherpur,Kharif 2,26.0,72.5,Aman,Jun,Jul to   Oct,Nov  to  Dec,40,12.0,60,85,25
200166,1.104498266,Sirajganj,Kharif 2,26.0,72.5,Aman,Jun,Jul to   Oct,Nov  to  Dec,40,12.0,60,85,25
198587,1.044851879,Sunamganj,Kharif 2,26.0,72.5,Aman,Jun,Jul to   Oct,Nov  to  Dec,40,12.0,60,85,25
336140,1.05969834,Sylhet,Kharif 2,26.0,72.5,Aman,Jun,Jul to   Oct,Nov  to  Dec,40,12.0,60,85,25
249183,0.8334115891,Tangail,Kharif 2,26.0,72.5,Aman,Jun,Jul to   Oct,Nov  to  Dec,40,12.0,60,85,25
